id,names,type,lacingPrevalence,testingKit,effects,harmReductionTips,halfLife,onsetTime,dosages,interactions,lacedBy,laces
"9ccc206c-b097-4554-b48e-96e264155b08","Propofol; Diprivan; Milk of Amnesia","anesthetic","","","Sedation; Pain relief; Amnesia","Use only under medical supervision.; Avoid self-administration of anesthetics.; Ensure proper ventilation when using.; Monitor for adverse reactions.","","","","DANGEROUS: Severe cardiovascular strain from stimulants.","",""
"27f8c3f6-93f1-4754-b66d-65d00901e335","Ketoprofen; Orudis; Painkillers","NSAID","","","Pain relief; Inflammation reduction","Follow dosage instructions carefully.; Take with food to avoid stomach issues.; Do not exceed the recommended dose.; Consult a doctor if pain persists.","","","","","",""
"ba0056eb-6f15-424d-8fc0-da5e7d01f99e","Ibogaine; Tabernanthe Iboga","hallucinogen","","","Hallucinations; Spiritual experiences; Addiction treatment","Use in a safe and familiar environment.; Have a sober trip sitter if inexperienced.; Start with a low dose to gauge effects.; Avoid if prone to mental health issues.","","","","DANGEROUS: Increased risk of serotonin syndrome and hypertension.","",""
"85d1fef7-66e0-48a2-8ce3-a1bf592cde52","Bufotenin; Toad Venom; 5-HO-DMT","hallucinogen","","","Hallucinations; Spiritual experiences","Use in a safe and familiar environment.; Have a sober trip sitter if inexperienced.; Start with a low dose to gauge effects.; Avoid if prone to mental health issues.","","","","PSYCHOLOGICALLY_DIFFICULT: Severe emotional instability and panic.","",""
"37fa4537-b63f-4f10-bee3-f8c88d6fe9a0","Diethyl Ether; Ether; Anaesthetic","inhalant","","","Sedation; Euphoria","Use in well-ventilated areas to avoid oxygen deprivation.; Do not mix with other substances.; Avoid excessive or prolonged use.; Seek help if feeling unwell after use.","","","","","",""
"8623cb6a-ee5c-4d49-b490-f62acb1ef957","Methaqualone; Quaaludes; Ludes","sedative-hypnotic","","","Sedation; Relaxation; Euphoria","Use only as prescribed and avoid high doses.; Do not mix with alcohol or other sedatives.; Take only when you can ensure safe rest.; Store securely to prevent misuse.","","","","","",""
"04ffb0be-9e69-4aa1-83b7-16e942ab9d70","Kratom Extracts","opioid","","","Pain relief; Relaxation; Euphoria","Use only as prescribed and avoid high doses.; Avoid mixing with alcohol or sedatives.; Store securely to prevent misuse.; Carry naloxone in case of overdose.","","","","","",""
"6a08244e-7562-4efd-abbb-7c9c6c925d46","Melatonin; Sleep Aid; Circadin","hormone","","","Sleep regulation; Relaxation","Take only as directed for sleep regulation.; Avoid taking more than the recommended dose.; Use as part of a healthy sleep routine.; Consult a doctor for long-term use.","","","","","",""
"cbe45c25-dc5d-4eab-9ff6-26ee4ad8ff54","MAOIs; Nardil; Parnate; Emsam","antidepressant","","","Mood stabilization; Depression treatment","Take as prescribed by a healthcare provider.; Do not stop abruptly to avoid withdrawal symptoms.; Monitor for changes in mood or behavior.; Discuss side effects with your doctor.","","","","DANGEROUS: Increased risk of serotonin syndrome.; DANGEROUS: Severe serotonin syndrome risk.; DANGEROUS: Severe serotonin syndrome with hyperthermia.","",""
"b4cc5534-44c3-417e-824e-ba76f902831d","Tricyclic Antidepressants; Amitriptyline; Nortriptyline; Imipramine","antidepressant","","","Mood stabilization; Depression treatment","Take as prescribed by a healthcare provider.; Do not stop abruptly to avoid withdrawal symptoms.; Monitor for changes in mood or behavior.; Discuss side effects with your doctor.","","","","","",""
"6386e2e2-1a8a-4810-b480-e9937bf00a41","Buprenorphine; Subutex; Suboxone","opioid","","","Pain relief; Opioid dependence treatment; Mild euphoria","Use only as prescribed and avoid high doses.; Avoid mixing with alcohol or sedatives.; Store securely to prevent misuse.; Carry naloxone in case of overdose.","","","","DANGEROUS: Severe respiratory depression and loss of consciousness.; LETHAL: Deadly due to combined respiratory depression.; LETHAL: Respiratory arrest due to combined opioid effects.; LETHAL: Respiratory arrest and severe sedation.; LETHAL: Respiratory failure and cardiac arrest.","",""
"8b12f406-c466-400e-b087-5ed1e86af827","Synthetic Cannabinoids; Spice; K2","cannabinoid","HIGH","https://dancesafe.org/product/spice-k2-testing-kit","Euphoria; Relaxation; Altered perception; Confusion; Paranoia in high doses","Start with a low dose, especially with edibles.; Avoid driving or operating machinery.; Stay hydrated and avoid excessive use.; Avoid mixing with tobacco or alcohol.","","","","DANGEROUS: Unpredictable side effects and liver toxicity.; DANGEROUS: Unpredictable effects, risk of psychosis, and hyperthermia.","Fentanyl","Cannabis; Salvia Divinorum"
"a97e4594-cee7-4836-96be-f5cd6d954d85","Alcohol; Ethanol; Booze; Liquor; Beer; Wine; Spirits; Hard Liquor; Vodka; Whiskey; Rum; Tequila; Gin; Moonshine; Hooch; Brewski; Cocktail; Champagne; Ale; Stout; Pint; Scotch; Bourbon; Malt; Cider; Sake; Mead","depressant","","","Relaxation; Euphoria; Impaired coordination","Dose carefully and avoid excessive use.; Do not mix with alcohol or other depressants.; Use in a safe environment with trusted people.; Carry naloxone in case of overdose risk.","","","","LETHAL: Severe respiratory depression leading to death.; LETHAL: Combined respiratory depression with sedatives.; LETHAL: Respiratory depression and loss of consciousness.; DANGEROUS: Toxic compound formation (cocaethylene) leading to heart issues.; DANGEROUS: Respiratory depression and loss of motor control.; DANGEROUS: Severe sedation, confusion, and potential coma.; LETHAL: Deadly overdose risk due to combined respiratory depression.; DANGEROUS: Increased risk of liver toxicity.; LETHAL: Combined sedative effects leading to respiratory failure.; DANGEROUS: Unpredictable side effects and liver toxicity.; DANGEROUS: Severe sedation and risk of choking.; DANGEROUS: Severe confusion and increased risk of accidents.; LETHAL: Combined respiratory depression and overdose risk.; DANGEROUS: Intensified sedation and confusion, increasing overdose risk.; LETHAL: Respiratory arrest and severe sedation.; DANGEROUS: Severe liver toxicity and risk of death.; LETHAL: Respiratory depression and choking risk.; DANGEROUS: Hyperthermia and toxic liver effects.; LETHAL: Respiratory arrest due to depressant combination.; DANGEROUS: Severe confusion and unpredictable sedation.; LETHAL: Toxic effects and fatal liver failure.; DANGEROUS: Hyperthermia, severe dehydration, and toxic liver effects.; DANGEROUS: Intensified dissociation and sedation, increasing overdose risk.; LETHAL: Respiratory arrest and coma.; LETHAL: Respiratory arrest from opioid and sedative combination.; LETHAL: Fatal respiratory failure from synergistic sedatives.; LETHAL: Respiratory failure due to combined depressant effects.; LETHAL: Respiratory arrest due to depressant overload.","",""
"87a50ee7-00a8-45ee-9610-9503cd98b02b","Heroin","opioid","HIGH","","Euphoria; Pain relief; Relaxation; Sedation","Use only as prescribed and avoid high doses.; Avoid mixing with alcohol or sedatives.; Store securely to prevent misuse.; Carry naloxone in case of overdose.","","","","","Fentanyl","Fentanyl"
"18b6e9b9-548e-42c0-a006-16ab4ef03a37","Methcathinone; Ephedrone; Cat","stimulant","","","Increased energy; Euphoria; Alertness","Avoid frequent use to reduce addiction risk.; Test for contaminants like fentanyl.; Use clean tools to avoid infections.; Stay hydrated and avoid mixing with alcohol.","","","","","",""
"c7e9c40e-3cd0-4fd4-846c-fc962fc1f08e","Xanax; Alprazolam","benzodiazepine","MODERATE","https://dancesafe.org/product/benzodiazepine-testing-kit","Anxiety relief; Sedation; Relaxation; Drowsiness","Use only as prescribed by a doctor.; Avoid mixing with alcohol or other depressants.; Do not stop abruptly to avoid withdrawal.; Store securely to prevent misuse.","","","","LETHAL: Severe respiratory depression leading to death.; LETHAL: Severe respiratory depression when combining sedatives.; DANGEROUS: Severe respiratory depression and loss of consciousness.; DANGEROUS: Intensified sedation and risk of overdose.; LETHAL: Respiratory arrest and overdose.; LETHAL: Combined respiratory depression and overdose risk.; LETHAL: Respiratory failure due to synergistic sedative effects.; LETHAL: Respiratory arrest from opioid and sedative combination.; LETHAL: Fatal respiratory arrest due to combined opioid and sedative effects.; LETHAL: Respiratory arrest and coma.; LETHAL: Respiratory arrest from opioid and sedative combination.; LETHAL: Respiratory failure due to combined depressant effects.; LETHAL: Severe respiratory depression and hypoxia.","Fentanyl",""
"86b899b6-4aca-43a4-9d70-fa300d9e9567","Vicodin; Hydrocodone","opioid","LOW","https://dancesafe.org/product/fentanyl-testing-strips","Pain relief; Euphoria; Relaxation; Drowsiness","Use only as prescribed and avoid high doses.; Avoid mixing with alcohol or sedatives.; Store securely to prevent misuse.; Carry naloxone in case of overdose.","","","","","Fentanyl",""
"59e3a4ca-9fe2-4671-98b5-f08f0621fb04","Gabapentin; Gabbies; Neurontin","gabapentinoid","","","Nerve pain relief; Relaxation; Mild euphoria","Use only as prescribed and in moderation.; Avoid mixing with alcohol or other depressants.; Do not stop abruptly to prevent withdrawal symptoms.; Discuss any side effects with your doctor.","","","","LETHAL: Severe respiratory depression and hypoxia.","",""
"3b6d9f2b-82b3-453e-a489-d3c40b15f000","Ibuprofen; Advil; Motrin; Nurofen","NSAID","","","Pain relief; Inflammation reduction; Fever reduction","Follow dosage instructions carefully.; Take with food to avoid stomach issues.; Do not exceed the recommended dose.; Consult a doctor if pain persists.","","","","","",""
"d8a2f062-d942-4787-a356-25864dc6520f","Pseudoephedrine; Sudafed; PSE","stimulant","","","Decongestion; Increased energy; Alertness","Avoid frequent use to reduce addiction risk.; Test for contaminants like fentanyl.; Use clean tools to avoid infections.; Stay hydrated and avoid mixing with alcohol.","","","","LETHAL: Severe blood pressure spikes and stroke risk.; LETHAL: Deadly due to combined cardiovascular strain.; LETHAL: Heart failure and cardiovascular collapse.; LETHAL: Severe cardiac strain causing heart failure.","",""
"4ac4d669-00ee-4b0a-9733-a3f6026fe344","Percocet; Oxycodone/Acetaminophen; Perks; Percs","opioid","","","Pain relief; Euphoria; Relaxation; Drowsiness","Use only as prescribed and avoid high doses.; Avoid mixing with alcohol or sedatives.; Store securely to prevent misuse.; Carry naloxone in case of overdose.","","","","","",""
"ddf70a3f-a596-4c33-83ea-836d871979bf","Codeine; Lean; Purple Drank; Sizzurp; Cough Syrup","opioid","","","Pain relief; Relaxation; Euphoria; Cough suppression","Use only as prescribed and avoid high doses.; Avoid mixing with alcohol or sedatives.; Store securely to prevent misuse.; Carry naloxone in case of overdose.","","","","","",""
"50871074-378e-42f5-9365-70a047aafdf6","Dextromethorphan; DXM; Robo; Tussin; Triple C; DXO","dissociative","","","Cough suppression; Mild euphoria; Dissociation in high doses","Start with a low dose in a safe place.; Avoid mixing with alcohol or depressants.; Do not drive or operate machinery after use.; Stay hydrated and monitor bladder health.","","","","","",""
"47d0991f-66bd-4590-ada3-9dbb818b38a9","CBD; Cannabidiol; Hemp Extract","cannabinoid","","","Relaxation; Anxiety relief; Pain relief","Start with a low dose, especially with edibles.; Avoid driving or operating machinery.; Stay hydrated and avoid excessive use.; Avoid mixing with tobacco or alcohol.","","","","","",""
"2fd6b41e-1eda-49c7-a7f8-6e2b5e7df210","L-Theanine; Tea Amino Acid","anxiolytic","","","Relaxation; Improved focus","Use only as needed and in safe settings.; Avoid combining with alcohol or other drugs.; Do not exceed recommended doses.; Discuss any side effects with your doctor.","","","","","",""
"3f16b45e-8ddf-4baf-8565-0277accd2c4f","Taurine; Energy Drink Ingredient","amino acid","","","Energy support; Improved focus","Take as part of a balanced diet or supplement plan.; Avoid excessive use without consulting a doctor.; Monitor for side effects or interactions.; Use as directed by a healthcare provider.","","","","","",""
"c37213e1-258d-40eb-a79f-5d9382bf6905","Datura; Jimson Weed; Devil's Trumpet; Moonflower","deliriant","","","Hallucinations; Confusion; Sedation","Avoid high doses due to unpredictable effects.; Use only in a safe and controlled setting.; Have someone sober present if using.; Do not mix with other substances.","","","","PSYCHOLOGICALLY_DIFFICULT: Overwhelming dissociation and potential delusions.; PSYCHOLOGICALLY_DIFFICULT: Severe confusion and delusional thinking.; DANGEROUS: Intensified dissociation and unpredictable behavior.; PSYCHOLOGICALLY_DIFFICULT: Severe dissociation and overwhelming hallucinations.; PSYCHOLOGICALLY_DIFFICULT: Severe dissociation and delusions.; PSYCHOLOGICALLY_DIFFICULT: Unpredictable hallucinations and extreme dissociation.; PSYCHOLOGICALLY_DIFFICULT: Extreme paranoia, confusion, and dissociation.","",""
"abedec8f-cf0f-4a20-be2f-d16c1336c188","Flunitrazepam; Rohypnol; Roofies; Forget-Me Pill","benzodiazepine","","","Sedation; Sleep induction; Amnesia","Use only as prescribed by a doctor.; Avoid mixing with alcohol or other depressants.; Do not stop abruptly to avoid withdrawal.; Store securely to prevent misuse.","","","","DANGEROUS: Severe sedation and risk of choking.; LETHAL: Respiratory depression and choking risk.; LETHAL: Respiratory arrest due to depressant combination.; LETHAL: Respiratory arrest due to depressant overload.","",""
"2f91f338-140f-49d7-be11-56dd182250dd","Mephedrone; Meow Meow","stimulant","MODERATE","","Euphoria; Increased energy; Alertness","Avoid frequent use to reduce addiction risk.; Test for contaminants like fentanyl.; Use clean tools to avoid infections.; Stay hydrated and avoid mixing with alcohol.","","","","DANGEROUS: Severe overheating and serotonin syndrome.; LETHAL: Heart failure due to stimulant overload.; LETHAL: Heart failure from combined stimulant effects.; DANGEROUS: Severe hyperthermia and serotonin syndrome risk.; DANGEROUS: Hyperthermia and toxic liver effects.; DANGEROUS: Severe cardiovascular strain and stroke risk.; DANGEROUS: Severe cardiovascular strain and hyperthermia.; LETHAL: Cardiovascular collapse and heart attack.; LETHAL: Cardiac arrest and hyperthermia.","Caffeine; Bath Salts",""
"da2374c3-95b0-4fbe-81d0-5d9cb420518b","Harmaline; Ayahuasca Alkaloid","MAOI","","","Spiritual experiences; Mild euphoria","Follow a strict diet to avoid dangerous interactions.; Do not mix with SSRIs or other antidepressants.; Avoid alcohol and certain over-the-counter drugs.; Consult a doctor regularly while using.","","","","","",""
"a794a4ec-f067-45f5-add4-80d0a4448fc2","Diclazepam; Benzodiazepine Analogue","benzodiazepine","","","Anxiety relief; Relaxation; Sedation","Use only as prescribed by a doctor.; Avoid mixing with alcohol or other depressants.; Do not stop abruptly to avoid withdrawal.; Store securely to prevent misuse.","","","","","",""
